comentario,polaridade
Chama no limite bebê @jheniloezer ??,neutro
Olha aí @rafa_koch quando eu falo que o @nubank é o melhor. é pq de fato é??????um roxinho que todo mundo quer ter??,positivo
Chegou o meu ??????????,positivo
@nubank perdoai as minhas dívidas,neutro
Tenho 2750 de limite mas infelizmente não consigo mais e tive que optar por cartões de outros bancos para atender minha demanda... mas mesmo assim não deixo o roxinho e um dia centralizo tudo nele hahaha ??,negativo
Vocês são simplesmente incríveis! Eu não gostava de cartão de crédito. mas o de vocês... Vou te contar... ??,positivo
Vocês nessa de limite e eu ainda tentando tirar o cartão de crédito. sempre tive nome limpo. contas em dia. mas não tenho a sorte de conseguir o cartão de crédito. Mas um dia vem????,negativo
Eu ainda tô na fase do nubank libera um cartão pra mim,neutro
Gente real fico meio triste com meu limite de 50 reais que n aumenta nunca e por nd. Send help,negativo
Vou tentar passar meu pagamento pra receber no nubank .,neutro
Comigo é ao contrário. vocês aumentam eu vou lá e diminuo que é pra evitar gastos ??,neutro
@nubank  demorei muito pra te encontrar. agora quero só você.,positivo
Como faço pra adiquirir o Nubank?,neutro
Sou cliente desde de 2016 do @nubank e mais de ano não aumenta mais meu limite nem 1 real... Nunca atrasei uma fatura até hoje... Já adiantei pagamentos varias vezes... Tenho #nuconta e deixo um valor rendendo... E mesmo assim não aumenta.... Se eu estou pedindo aumento de limite é por que posso pagar... Não devo a banco nenhum... Nunca tive nome sujo com cartão de crédito... Por isso larguei outros cartões para ter um ótimo limite para não depender da concorrência... Estou pensando seriamente em pedir um cartão do @bancointer já que vocês não aumentam mais,negativo
@ecnascimento @mvla.vitoria,neutro
Sim. mas liberar R$ 50.00 de limite é ridículo. ??,negativo
Melhor cartão que esse não existe. se existe não conheço.,positivo
Nubank sua linda! Amamos você e continue sendo o melhor banco digital . em menos de 1 ano aumentaram meu limite 3x E so tenho a agradecer!,positivo
Dobrou em 30 dias,positivo
Melhor cartão @danyeli_gomez,positivo
Melhor cartão @danyeli_gomez,positivo
@nubank aumenta aí meu limite vai. já cansei de pedir aumento,negativo
Amooooo??,positivo
Li  e entendi .  Para quem  se preocupa com a vida financeira dos clientes não vai sair dando  limite de mais .  Talvez eu demonstre um descontrole pra vcs . Porque já cheguei a gerar 3 boletos no mês é comprar mais . Rsrsrsrs,negativo
Já pedir várias vezes o aumento e nada aff.,negativo
Apois @nubank eu faço tudo isso é vcs não aumentam meu limite...aumenta ai vai...????,negativo
??,positivo
??,positivo
Comecei com 600 e estou com 1550 em menos de um ano.eu amo demais esse roxinho ??,positivo
??????,positivo
Mentira,negativo
Meu limite no nubank é 50 reais kkk comprei uma coxinha ????,negativo
@sinaraferreiraborges  @estevaolucas1  tá explicado porq não aumenta esse limite ??,neutro
Tem mais de 8 meses que tô pedindo aumento e nada,negativo
Meu Crush?? @nubank ??,positivo
Desculpe aos outros cartoes do mercado. mas o Nubank é top demais... Agora tenho só o Nubank e consigo planejar todas as compras pela app.... ????????... O limite quem sabe um dia aumenta...,positivo
@nubank o nosso limite ficou tão baixo que vcs nem quiseram enviar o nosso cartão ne @joaoo_047 ??,negativo
Apaixonada no meu roxinho ??,positivo
Eu amooo de mais e sempre atualizaram o meu limite bem rápido ?? super recomendo. comecei a utilizar outro cartão parecido mas igual o meu  NU  não existe ??,positivo
Libera e meu cartão. 6 meses esperando já zzzzzzz??,negativo
Melhor cartão que ja existiu.,positivo
Aumenta o meu ??,neutro
Nem limite me deram kkk,negativo
Já está na hora de liberar meu crédito já estou cansado de apenas usar o débito ???????,negativo
Meu digio aumentar meu limite todo mês enquanto vcs nunca aumentaram??,negativo
Eu fiz parece ser bom . só o limite que nao ajudou muito que veio 50.00 reais . mas continuo usando e pagando em dias ????????,positivo
Depois de milênios pedindo o aumento eu já tava conformada que não iam aumentar aí do nada aumentaram rsrsrs @nubank 0 defeitos AMO ?????????,positivo
O meu não aumenta já 1 ano ou mais. e olhe q sempre pago em dia. sempre peço e nada...o cartão é o melhor.. mais com limite baixo fica difícil.??,negativo
Meu número 1,positivo
Mas as vezes vc paga certinho. controla seus gastos (meu caso) e queremos comprar um Playstation 5 (que vai sair os olhos da cara) e não temos limite ????????????????????????????. me ajude viu @nubank !!!!,negativo
Quero  mais aumentinho ????????,neutro
@luiz_navarini,neutro
por favor. aumentem meu limite!!! Já pedi tanto! ??,negativo
Amo o meu??,positivo
Nem me ofereceram cartão ????,negativo
Nem cartão oferecem ??,negativo
Será que alguém aqui tem o limite acima dos 15 mil ? Eu passo minhas compras toda no crédito e pago a fatura umas 3 ou 4 vezes no mês. e mesmo assim não consigo subir de limite pra poder cancelar os outros cartões que tenho... possuo também a Nuconta e o rewards,negativo
Mió cartãozin nesse mundo todin! ??,positivo
Amo meu roxinho ?? tentei tantas vezes e sempre era negado o convite. até que em um belo dia deu certo e hoje é meu xodó ??,positivo
Libera um cartão de crédito pra mim sua linda,neutro
Tem ums meses que so estou pagando o mínimo pos. estou desempregada por um tempo. isso inferi no almento do limite???,neutro
Teram alguma novidade ou estilo no App no mes do Rock In Rio?,neutro
Nubank me surpreendeu.. demorou 1 ano pra aumenta meu limite. mas quando aumento meu limite.. 35 vezes o valor q eu tinha ????????????,positivo
@rafael.souza.31 ate o nubank tem mais controle da minha vida  financeira kkkkkkkk,neutro
E quando vc tenta aumentar o limite em um único banco pra evitar ter 3 ou 4 cartões diferentes ? Vale também? É meu caso.,neutro
Perfeito. Sem defeitos??,positivo
Já pedi 500 vezes pra cancelar meu  @santanderbrasil,neutro
Duvido aumentar o meu kkkk,neutro
#sounu  com muito orgulho ??,positivo
@gustavoraujo,neutro
Eu quero saber pq o aplicativo não está funcionando. no meu celular ele não abre de jeito nenhum já enviei feedback. email e até agora não obtive resposta,negativo
Pois é. já pedi tanto e nunca era aceito. daí desisti. aí do nada de deram 700 reais de limite a mais,negativo
Amo meu roxinho!??,positivo
Comecei com 400 e em menos de 1 ano fui pra 2050,positivo
Melhor cartão. comecei com 4 mil hj tenho 12.600 sempre pago em dia. valor total,positivo
NUBANK eu te amo??????,positivo
eu nunca te pedi nada! td pago em dia e nunca consigo aumentar o meu :.,neutro
Nubank. meu aumenta meu limite,neutro
Mas o meu não sai de 50 reais ??,negativo
Só vivo no limite. nunca atrasei uma conta e minha renda tá atualizada mesmo assim meu limite não aumenta a mais de dois anos e sou obrigado a ter outro cartão pois o Nubank não me atende e se recusa a aumentar meu limite. Desculpe mas tá cada vez mais difícil de acreditar em vocês!,negativo
@thiago_sossa,neutro
Meu era um limite horrível. mas não vou desistir. 1 ano de cartão com só um aumento de 200 pra 400 ??,negativo
??????????,positivo
Eu nunca consigo aumento e por que pago antes do dia nunca atrassei ?? @nubank,negativo
E ainda tenho o score de quase 800 não tá ruim não e não sei pq não aumenta,negativo
Usei apenas o Nubank por mais de 3 anos. recentemente precisei fazer uma compra que passaria do meu limite. pedi aumento no App e no Chat várias vezes mas não quiseram aumentar. mesmo com o dinheiro da compra todo na Nu Conta e eu nunca ter atrasado minhas faturas. só consegui fazer a comprar adiantando o pagamento. fiquei decepcionada. Resultado. virei cliente Digio e Inter e já consegui um bom limite nos dois. Melhor ampliar o leque do que esperar de mais de um só.,negativo
Quero um novo cartão ????,neutro
Infelizmente meu limite de um ano pra cá não aumenta de jeito nem um não sei pq...pago tudo em dias e ainda uso a nu conta pra fazer pagamento e deposita meu dinheiro já não tenho mas conta poupança pq tô deixando meus trocados lá mas de um ano pra cá a nu não concede mas aumento pra me ??????,negativo
Eu quero,neutro
Pago tudo em dias. faço compras no cartão sempre e tenho o score bem alto. Mesmo assim não recebo almento do meu limite.,negativo
@nubank vcs são de mais! O melhor cartão de Crédito do mundo sem dúvidas! ??????,positivo
! Para mim você é ilimitado nota 1000 ????,positivo
@isaducharme,neutro
Amo um banco ??????????,positivo
quando me perguntam qual foi minha melhor conquista. eu respondo com gosto que foi o meu roxinho!! ??,positivo
Eu quero aumentar meu limite no nubank pra poder cancelar meu cartão do Santander e ficar só com o nubank. mas aumenta muito pouco. quando aumenta. Sempre pago em dia a fatura (ate antes do vencimento) e não tenho nome sujo.,negativo
Meu irmão.foi aprovado. mais só liberam . 50 reais. fala sério né ?? o q fazer com 50 reais de limite ??,negativo
Eu esperando o meu limite de 50.00 aumentar ?? @_derleysouza,neutro
O meu também...,neutro
Aumenta nubank,neutro
?????? que triste!,negativo
Eu tenho um bom Score no Serase. pago minhas faturas com antecedência. ja tenho o cartão a mais ou menos 6 meses. e ainda não consegui nem 1000 reais de limite ??,negativo
@nubank melhor coisa que já me aconteceu ??,positivo
??,positivo
@nubank Aumenta meu limite!!!????,neutro
Me liberaram um limite de 50 reais. Tenho mais cartões e a minha intenção era ficar só com o roxinho. porém. ficar gastando 50. transfere 50. espera 3 dias. cai na conta. paga. gasta 50. transfere 50... Dá preguiça!!,negativo
@drielle_oliveira_,neutro
Isso mesmo??????????????,positivo
Esse Nubank só faz enganar.consegue os dados e não ?á respostas.,negativo
Mó tiração da poha!! Tenho mais dinheiro guardado do que meu limite!  Alguém mas  Com limite de 50 conto ??,negativo
Vlw msm!!! O limite que vcs liberaram é dmais ????????,positivo
Poxa só falta meu roxinho ser credito ??,negativo
@lamberto_leonardo  ver isso pode lhe ajudar,neutro
Amoooo esse cartão????,positivo
Amor da minha vida esse nubank ??,positivo
????????,positivo
Eu quero aumentar o meu limite de cartão de crédito,neutro
@sousaspaty,neutro
Infelizmente a sistemática de vocês está errando em algum ponto... Tenho o Nubank a quase 3 anos com um limite que não da nem metade do meu salário. nunca atrasei conta e meu score sempre explodindo e não aumentam meu limite de forma alguma. Meu cunhado que recebe um salário mínimo tem mais limite que eu. minha esposa que nem tem renda tem um limite muito maior... Precisam revisar urgente isso aí.....fora que fiquei com raiva e cliquei várias vezes em aumentar o limite aí meu score foi por água abaixo... ????,negativo
Eu tenho esse cartão de crédito mais o limite é baixo queria que aumetace um pouco mais,negativo
Cansei de pedir aumento de limite. fiz outro cartão em outra empresa. deu aumento de limite quando eu pedi,negativo
Comércio com 600 de limite em 4 mês conseguiu 1800 de limite. Obrigado @nubank,positivo
Estou amando o roxinho.pena que meu limite é muito pouco.Já pedi aumento e nada!,positivo
Melhor cartão do mundo ??,positivo
Meu score tá alto pago em dia e mesmo Assim não aumenta de jeito nenhum.,negativo
Vocês são dms ????,positivo
??Meu amorzinho lindo que eu amo tanto . não troco por nada ??,positivo
@derik_filipy,neutro
Tenho a nuconta a um tempinho e ainda não aprovaram meu cartão de crédito. ??,negativo
Como concentro meus gastos no nubank se meu limite não dá pra comprar nada ??,negativo
Cartão com um jeitinho moderno e inovador #SouNu 2019???@nubank,positivo
@danimiiranda,neutro
@igormcosta12  pra vc ver como funciona....,neutro
Sou apenas nuconta e fico triste pois  ainda estou na lista de espera do nubank crédito...?? nubank me aceita vai!,negativo
Eu gostei do cartão peguei a 2 meses entendo que o limite é pequeno mas é muito pouco eu quero cancelar os outros preciso de limite bem maior,positivo
O meu começou  com 200 passou só  uma bez pra 400 e pedi aumento ja umas 3 vezes e não  obtive exito não  foi possivel  ai faz mais de 7 meses ou mais num sei q estou com esse cartão mais ate aqui só  aumentou essa vez meu e ainda ta em 400 nossa será possivel.,negativo
Melhor cartão ?????? porém esse do limite fez eu ter uma recaída e tentar outros cartões ???????????? mas nunca irei abandonar ??,positivo
Adooooro quando vocês aumentam meu limite sem eu pedir ?? ?? me sinto ryca!,positivo
Mas demorar tanto pra aumentar é chato. tinha q ter no sistema as faturas pagas. se a pessoa consegue pagar em uma fatura uns 1200$ por exemplo. nas próximas fica em 700$. pq tá sem limite. deveria liberar,positivo
Ta osso 400 reais e n atraso pagamento,negativo
Só queria que você aumentasse um pouquinho pra eu ir pra praia nubank. nunca te pedi nada kkkkk ??,neutro
Libera meu Platinum seus vassilao haha já virei motivo de bulling por ser o único do rolê a não ter um ??,negativo
Ainda bem que tenho outros cartões. pq quem tá reformando só o nubank não dá e ajuda que se espera difícil ter na hora que precisa,negativo
Meu score é de 97. Pode aumentar meu limite hahahahaha.,neutro
??????,positivo
Limitado,negativo
Também quero que aumente o meu.,neutro
Melhor empresa não há!! Amoo meu roxinho ????,positivo
O meu limite começou com 2000 e agora está 3000 e já tentei várias vezes aumenta esse limite e não consigo mais. já faz mais de anos que esse limite estacionou nesse valor. tive que fazer outro cartão pq vcs não me libera mais limite. e olhe que eu sempre pago a fatura total e na data. não sei mais oque fazer. queria saber se vc poderia resolver o meu problema de limite?,negativo
O meu ta igual ao salario minimo.pra almentar é uma sofrencia.só concigo de ano em ano.sempre gastamdo todo o limite e nunca dexando atrazar os pagamentos.eu sou muito azarado.só pode ??,negativo
comecei com 300.00 reais de limite agora estou 2500.00 ??top emmm,positivo
Amor a primeira vista por ti. @nubank.,positivo
Faço tudo direitinho e nunca aumenta. já perdi a esperança ??,negativo
O que falar do Nubank ??,positivo
Amo a Nubank. estou a 4 anos com este cartão porém nessa questão acho que vocês deixam a desejar. uso o meu caso pessoal pra ter está opinião pois quando entrei na Nubank em 2015 tinha um limite de 500 reais e nestes 4 anos. pagando as contas em dia e atualmente até antecipando. tive aumento de apenas 2K. sendo que ganho mais do que isso. Vejo relatos em grupos do cartão de pessoas até desempregadas entrando e já ganhando um limite alto ou do nada a Nubank aumentando significativamente o limite da pessoa. Acho que nesta questão a Nubank é relaxada.,negativo
@nubank NUNCA TE PEDI NADA. AUMENTA MEU LIMITE.,neutro
Melhor cartão. Minha ex Cunhada fez mas foi débito. tem como passar pra crédito?,neutro
????quero um tem ano que peco e nunca me aprovam??????,negativo
Cartão maravilha???? ??. eu só queria chegar limite de 3.000 . Nubank coopera cmg ??,positivo
Só queria um limite de 50 reais kkk,neutro
Meu mar são vcs ??.,positivo
@diogotommaz,neutro
Cumpro todos esses quisitos e mesmo assim não sou atendido.,negativo
Mano meu nunca aumentou :@,negativo
Ando sempre em dias com meu Roxinho agora só quero mais um pouco de limite ??,negativo
O bom é que em apenas 1 ano meu limite aumentou duas vezes. isso Pke sei controlar muito bem meus gastos. É sim isso ajuda muito . Muito obg ??,positivo
????,positivo
Cancelei os outros cartões e não me arrependo até agora. Continue assim nu  sempre surpreendendo cada vez mais ????,positivo
Muito bom o dia que não cuidei o limite e fiz uma compra acima do que ainda restava de limite. era menos que 20 reais o que faltou. e a nubank aceitou a transação mesmo assim. eu fiquei muito feliz porque era importante ter feito o pagamento kkkkkkk,positivo
Sou cliente a 2 anos. nunca atrasei fatura. sempre gasto mais 60por cento do meu limite. todos os meses e mesmo  assim nunca aumentaram meu limite. Ja liguei para o atendimento e ninguém entendeu oq acontecia com meu caso,negativo
Comecei com 500 apois pagar a primeira fatura foi pra 2.500 ?? bgd @nubank. O melhor ????,positivo
@faverosarah,neutro
#nubank?? o melhor?? ????????????,positivo
Varios bancos te dão limites altos. pagando ou não anuidade... e você tem o limite que você precisa comprar tal coisa que você precise. Mas tem meses que não aumentam meu limite pois preciso fazer tais compras específicas e não consigo. Se fulano pagar ou não (claro que não faz mais que sua parte pagar o que gastou). joga o cpf de fulano no spc e pronto. Mas fazer o que ???????,negativo
Tou tentando aumentar meu limite ah tempão e não consigo?,negativo
Já pedi muito pra aumentar meu limite ! Desisto ?? pra quem vai casar final do ano precisar de um limite maior no cartão e não ter ??,negativo
POR FAVOR @nubank,neutro
@nubank Tentei atualiza minha renda como dito aqui e não foi.,negativo
Aguenta o meu pra 6k @nubank,neutro
Tentei pedir aumento de limite umas 5x para terminar minha reforma mas não deram. A Neon aprovou ???????,negativo
Usar a NuConta ?? ajuda na aprovação do cartão? ??????,neutro
Melhor cartão ! ??,positivo
Melhor cartão do mundo! ??,positivo
Muito bom graças a Deus pago minhas contas tudo em dias nunca gostei de atrasar nenhum pagamento meu. N deu trabalho a nubank aumentou meu limite estou esperando só aumentar mais um pouco pra poder eu me desfazer dos outros q ainda pago anuidade. Muito obrigado nubank ????,positivo
Está horrível acho q n ajustei no inicio e meu limite esta de 50 reais totalmente desproporcional a minha renda !!,negativo
Gostaria de usar só o Nubank mas o limite é muito baixo hj. O que acha de vcs olharem o histórico de gasto e pagamento do meu outro cartão de mesma bandeira. assim vão ver que podem aumentar meu limite sem riscos e migro tudo pra vcs ??,negativo
Mesmo seguindo as recomendações não consigo o aumento de limite ??????,negativo
O melhor cartão. ??,positivo
@nubank  Um pena meu app não permitir atualizar a renda ??,negativo
@willy_teixeira,neutro
Ain ?? até choro,positivo
Vcs são incríveis! Obrigado pela transparência com nós. @nubank.,positivo
Me aprovem mds ??,neutro
??????,positivo
Nubank aumenta o limite da minha namorada pra gente alugar o carro pra ir pra um casamento por favorrrrr,neutro
Ja indiquei 5 pessoas e 3 ja fizeram espero também cooperar pela vida financeira das pessoas que pagao abisurdocde taxas abusivas . Eu sofria hoje nao mas gralas ao NU????,positivo
Amo o meu nubak... melhor cartão q já tive... ??,positivo
??em novembro eu farei dois anos de roxinho . comecei com 800 e hoje ele chega a 1.750e qiero mas . porem sempre no controle dos gastos tamo junto????,positivo
Tentando conseguir cartões pra meus irmãos. nunca usaram bancos .nem seus cpf's .não tem restrição algumaaa. porém. não aprova nada. só a conta. nada de cartão de crédito.,negativo
no começo aumenta mas depois parece que agente deixa de existir  já concentrei meus gastos todos no nubank já usei todo limite varias vezes e nada e nunca atrasei uma fatura tive que pedir o pag e agora estou concentrando a maioria dos gastos nele,negativo
@nubank aumenta meu limite!,neutro
Cartão maravilhoso.. em 3 meses aumentou meu limite ????,positivo
@fernandojunior84,neutro
????????,positivo
@nubank me manda uns brindes rsrs. nunca te pedi nada,neutro
@juanpetrus,neutro
Tenho cartão Nubank limite de 850.00 e um digio de 4.000.00 essa análises de vcs não está sendo legal não,negativo
Sou cliente a mais de 1 ano. pago minha fatura antes do vencimento todos os meses. ja perdi a conta de quantas vezes pedi o aumento do limite e nada,negativo
Comecei com 400.já aumentaram p. 800??????,positivo
??,positivo
@nubank o meu limite estacionou. nunca mais tive um aumento????????,negativo
Se fosse verdade meu limite seria mais de 5000 e não 1250 kkkkk ?? tem gente que ganha pouco e tem mais do que eu vai lá entender.,negativo
Se fosse verdade meu limite seria mais que 5000 ???? tem gente que ganhar menos do que eu e tem mais limite. vai lá entender. porém o Nubank é ótimo.,negativo
O meu já tem 6 meses c 400 reais até já desacreditei desse aumento ??????,negativo
Infelizmente já solicitei várias vezes. e minha solicitação é recusada. em outros 2 cartões. meu limite é o dobro que tenho na Nubank ??,negativo
sandraseld cartão de crédito que não quer te enterrar em dívidas. você já tinha visto isso antes?,neutro
Certíssimo.,positivo
Viu por isso amo tanto. acabei de sair de um cartão com limite de2100.00 pro de vcs que tá com limite de 700.00 amo vcs ??????????. vou ter que arrumar uma blusa roxa pra demonstrar tanto amor,positivo
O melhor roxinho do mundo ??,positivo
??,positivo
Podem aumentar a vontade. gastarei só o que posso.,neutro
Infelizmente não tenho um limite compatível com meu gasto mensal. média de 5000 por mês...,negativo
Meu queridinho ??,positivo
Essa escolha de limite é top. Para mim funciona muito bem,positivo
??,positivo
Eu tenho um limite baixo. mas ja aconteceu de ter um imprevisto e não conseguir o valor e ter que parcelar a fatura. O limite é baixo. mas sou muito feliz com meu roxinho ??,positivo
Cuidou tão bem da minha saúde financeira que eu até pedi outro cartão com mais limite ??,negativo
Amo meu roxinho ????,positivo
To só esperando vcs aumentar  o meu limite. deixei de comprar o tênis q eu queria pq não tinha limite. mas eu tinha dinheiro??,negativo
Melhor ?? que tenho. aumentem meu limite!! ??,positivo
Roxinho e show meu primeiro veio com 1600. depois quase dobraram foi pra 3mil. eu pago sempre antes e mantenho minha economia na nu conta. Nota 10,positivo
Pena q não consigo??,negativo
Um dia saio dos 50... ????,neutro
E meu fez 1 ano da última vez que aumentou meu limite??,negativo
Aumenta meu limite,neutro
@biaa_bertelli,neutro
Vocês são incríveis,positivo
Infelizmente disso tenho o que reclamar do roxinho querido ?? @nubank aumenta meu limite ?? nunca te pedi nada!,negativo
@jhenifferlira,neutro
Meu limite é baixo e uso bastante o meu cartão @nubank pago minhas contos sempre em dia e sempre que peço aumento não tenho e aí nubank!? Já recebi proprosta de outro banco virtual,negativo
Um dia eu saio dos 50 reais kkkk??,neutro
Tenho o cartão nubank faz uns 8 meses tive um aumenta de 100 reais durante este tempo todo. Estou precisando de que aumentar mais uns 200 reais... a diferença estou gastando em dinheiro mesmo,negativo
Qro ser cliente nubank tb! Como faço?!,neutro
Problema é enviar foto da nova renda e não atualizarem no app...,negativo
Meu amor roxinho??????,positivo
Ja estou na minha 3 tentativa de ativar a minha função credito e nunca me aprovam ?? mas nao desistii ainda!!,negativo
Eu nunca saio do meu limite de 400 reais mas esta bom é um limite justo para meus gastos no mês. apesar que eu acabo gastando muito mais e fico antecipando os pagamentos para liberar o limite por isso acho que vcs poderiam aumentar um pouco mais meu crédito kkkk #aumentameulimitenubank heheheeh ????????????,neutro
Desde o dia que peguei meu Nu. pago sempre. sempre mesmo antecipadamente. porém. de uns tempos pra cá. mesmo minha renda tendo aumentado. e eu tendo atualizado. toda proposta de aumentar o limite é recusada. Nunca atrasei. sempre pagando total e antecipado.,negativo
Melhor do melhor do mundo ??,positivo
Meu roxinho. Melhor que muita gnt da família ??,positivo
Ahh Nubankizinho ????,positivo
Meu Love ??,positivo
Um sonho trabalhar nessa empresa...,neutro
Aumente meu limite preciso comprar meu celular ????,neutro
??????????,positivo
Precisando aumentar o meu. ainda não me deram essa moral e sou bom pagador.??????,neutro
Melhor de todos ??,positivo
Adoro o Nubank! O limite é perfeito e nos auxilia a controlar os gastos. Percebo que o meu valor máximo disponível tem aumentado. mas ainda assim. uso apenas 30-40por cento dele. Depois de 2 anos sem ter interesse em um cartão de crédito e ter cancelado em um banco comum  me sinto feliz com o do Nubank.,positivo
Estou amando meu roxinho.só queria um pouco mais de limite.rs,positivo
Me dá cartão de crédito nubank! Pelo amor... cansei de ser negada !!!E não tenho dúvidas kkkkkk,negativo
@nubank pago todas as faturas tudo certinho já tenho faz 1 ano e ainda não aumentaram meu limite :( minha mina no segundo mês vocês aumentaram em 60% o limite tão de sacanagem comigo kskskskksk,negativo
Estou pedindo faz tempo e até hoje não aumentaram.  cansei de pagar adiantado .pago no dia...Mas não aumentam .No meu caso. tenho uma renda comprovada no holerite e outra que ganho por fora. que não tenho comprovação em papel. O cartão é bom.mas estou pensando em fazer outro.pois meu limite é muito baixo.não consigo realizar algumas compras maiores pelo cartão. pois não tenho.limite para comprar...acabo tendo que guardar o.dinheiro e comprar a vista...Aí o cartão acabou não sendo tão útil quanto eu esperava,negativo
@matheus21freitas,neutro
desculpem minha ignorância. ainda não estudei as opções da Nubank. o cartão é ou pode ser internacional?,neutro
Estou in love. ?,positivo
Já tenho ele a 4 meses pagos bem antes do vencimento nunca duvido mais de 2 x . e uso todo o meu limite de 400 . todo mês e nunca aumentaram 1 real de limite . peço o aumente e já negam logo de cara . isso é muito chato implorar por limite de cartão de crédito . tenho mais 2 cartões e nunca tive esse problema,negativo
Sou doida por meu roxinho ????????,positivo
Amo ????????,positivo
E nada,neutro
Aumenta o meu pago antecipado,neutro
Comecei com 750.00 há 2 anos. hoje já são mais de 8 mil. Amo demais ??,positivo
Em 2 meses aumentou para 650 reias ?,positivo
Tenho cartão limite auto no Santander. nem sou correntista nem tenho poupança mas estou pensando em ser. Pois vocês não aumentam em nada meu limite. mesmo estando tudo ok com meu CPF e score legal... :(,negativo
Aumenta o meu também tô querendo usar mais o cartão e o limite tá super baixo.,negativo
Mesmo assim queria aumentar meu limite ??,negativo
@clallsilva,neutro
Quero mais limite! ??,neutro
Seria interessante se tivéssemos acesso a nossas estatísticas de gastos e o total que já economizamos com adiantamentos de parcelas e rewards. Outra coisa importante seria se o extrato da nu Conta fossa mais parecido com um extrato comum.,neutro
Amo meu Roxinho,positivo
Pra ficar perfeito libera os saques gratis e boletos para depositos ilimitados ou pelo menos uma quantidade melhor. pq apenas 10 boletos está pouco. ?? #ficaadica,neutro
Kjkkk. só tá faltando aumentar o meu pelo visto. complicado pagando fatura sempre acima de 600 reais já fiz mais de 10 tentativa pra aumentar pra 3.000 porém nunca vai,negativo
Aí sim em @nubank .. Como eu faço para receber algum presentinho de vocês? Aqueles mimos? Sempre pago em dia as faturas seria interessante já que sou cliente a tempos. Vlw obrigado por serem Foda! Kkkk,neutro
Pensa em mim. que eu to pensando em você ??,neutro
@nubank pois o meu faz tempo que não aumenta. só uso ele. chego até o limite. pago sempre o valor total da fatura e sem atraso... e ainda tem uma boa quantia na conta. rendendo...mas. qualquer hora eu troco e aí resolvo tudo né!,negativo
Meu limite é completamente incompatível com a minha renda. Meu limite no outro banco é 10X mais. Aí. como o limite é pequeno. não consigo comprar nada nele. e acabo usando pouco e aí vocês não aumentam o limite. Já pedi várias vezes e nada. =.,negativo
E tem como não amar esse roxinho ????,positivo
@caiio__alvees,neutro
Aumentou o meu de 900 para 14.300 ??,positivo
um dia eu saiu dos 50 reais kkkk ????,neutro
Melhor cartão ????. sou cliente a uns 2 anos e NUNCA tive algum problema com a @nubank app fácil de ser manuseado. ótima segurança... E um excelente limite de crédito concedido. estão de parabéns ??????,positivo
@edinhocf ??,neutro
@augustamariac,neutro
Meo limite e só 50 reais que triste ??.. @nubank  mim ajuda pff gosto tanto desse roxinho lindo...,negativo
A @meudigio me deu R$2600.00 de limite enquanto a @nubank me deu R$ 200.00. Isso com a mesma renda e solicitados na mesma semana. Parabéns @nubank !!!! ????????,negativo
Amo ??,positivo
Me deram 50.00 de limite eu achei top ??????,positivo
Acho q vcs deveriam lançar um limite para compras específicas. tipo se a pessoa precisa comprar um celular. iPad. algo mais caro. ter um limite para isso. sem afetar o de compra. Ajudaria muito. cancelei meu Amex e agora não consigo trocar de celular @nubank ajuda nós ????,neutro
Não uso o total do meu limite mas mesmo assim poderiam aumentar.a gente nunca sabe quando vai precisar.obs:pago sempre antes do prazo o valor total.mas ainda assim é um excelente cartão.,neutro
Só eu que não consigo a função crédito ??,neutro
Sou muito fã de vcs!,positivo
Um dia com fé em Deus o @nubank aumenta o meu limite de 600.00 ??,neutro
Meu cartão nunca chegou,negativo
Melhor coisa q aconteceu. meu roxinho!!!! ??????,positivo
????????????????????????????,positivo
??????????,positivo
Sempre antecipo faturas e compras parceladas. mantenho renda atualizada e meu limite é o mesmo há anos. E sempre que preciso em eventuais necessidades (viagens por exemplo). é negado o aumento. Não concentro minhas compras por conta disso e porque não acho o Rewards atrativo. Logo. concentro em outro cartão que me disponibiliza melhor limite e me atende quando preciso (de aumento em caso de viagem ou compra de algo de valor mais alto) e com programa de pontos sem anuidade. Então deixo de usar mais por conta disso. Vejo gente com renda 1.3 da minha. atrasa fatura e com limite maior. Logo. difícil entender os critérios. Fora isso. em questão de praticidade e atendimento. o @nubank é o melhor. realmente.,negativo
Aumenta o meu limite ai??????sempre pago antecipado tudo direitinho .O limite é muito baixo??,neutro
Apesar do NUBANK ter mim dado pouco limite de crédito eu estou muito feliz por ter esse cartão que é show demais!!!!espero que em breve aumentem  meu limite!pois estou pagando td certo e até muito antes do vencimento...??????????,positivo
Nosso também. Preciso urgente ??,neutro
O meu limite de R$ 50.00 ??.. mas tudo bem. como eu queria meu roxinho ????????,positivo
Eu sempre pago o meu em dias. e nunca mais aprovou o aumento..,negativo
Gasto todo meu limite . nunca atrazei nem um pagamento nunca parcelei. por que não consigo aumento de limite??,neutro
Meu tbm,neutro
@bianca.macari,neutro
Eu não troco meu roxinho por nada ????????,positivo
Olha como meu bebê se preocupa ??,positivo
Isso ae é pra não tomar calote,neutro
Comecei 1.700 fiz a mudança ontem pra 2.200 bom d++ ????,positivo
Piada. Já vi no Twitter vcs RT em gente desempregada tendo limite aumentado... pago minhas faturas em dia. 100%. as vzs até adiantado... meu limite é o mesmo faz 4 anos...,negativo
Poderia aumentar o meu né... 50 tão ta foda kkkkkkk,negativo
